id,question,opa,opb,opc,opd,cop,subject
536,Vygotsky’s sociocultural development theory attempts to describe the interaction between the mental function children are born with and how they develop those into what they possess as adults. One of the important components of this is the zone of proximal development. Which of the following statements accurately describes an individual in the zone of proximal development?,A baseball player hits baseballs from a tee in order to build muscle memory.,A concert flute player falls short of finishing a piece that has a very complex ending without mistakes,A high school English student submits a paper for review by his professor.,A high diver takes instruction from her coach to improve her form on a specific move.,D,college_medicine
537,"A young man working with a therapist on becoming more productive is expressing many of his desires throughout growing up and how he feels that it has affected him. Through discernment, the therapist states that he believes the young man’s development is stuck in a stage that reflects itself by his inability to keep his house clean. According to Freud’s theory of psychosexual development, what stage would this young man be fixated in?",Anal,Phallic,Latent,Genital,B,college_medicine
538,What type of covalent bonds link the amino acids in a protein?,Peptide bonds,Hydrogen bonds,Ionic bonds,Glycosidic bonds,A,college_medicine
539,"Walking down a street late at night, an adult male pedestrian notices a young female on the ground, not moving. The female is on the opposite side of the street. Crossing the street, the pedestrian notices that the young woman appears both much wealthier than he is and is of a different ethnicity. Seeing no one else present, the pedestrian renders aid. According to the bystander effect, which of the following would change how the pedestrian reacts?",The person requiring aid appearing to be of a lower socioeconomic class rather than a higher one,The presence of another group of people one block up the street,The person requiring aid appearing to be the same ethnicity rather than a different one,The presence of one other person who is already approaching the girl,D,college_medicine
540,Muscle lactate production increases when:,oxygen is readily available.,pyruvate cannot be formed from glucose breakdown.,the pH of the muscle falls.,glycolysis is activated at the onset of exercise.,D,college_medicine
541,Triacylglycerides consist of I. A ribose backbone II. a glycerol backbone III. three phosphodiester linkages IV. three ester linkages,I and III,II only,II and III,II and IV,D,college_medicine
542,"Noncompetitive inhibition differs from uncompetitive inhibition in that a noncompetitive inhibitor binds to an allosteric site on the enzyme and prevents it from catalyzing a reaction, whereas uncompetitive inhibitors bind to the enzymesubstrate complex and prevent catalysis. Increasing the substrate concentration would have which of the following effects?",Increasing impact of uncompetitive inhibitor and decreasing concentration of noncompetitive inhibitor,Decreasing impact of uncompetitive inhibitor and increasing impact of noncompetitive inhibitor.,Increasing impact of uncompetitive inhibitor,No effect,C,college_medicine
543,"Tyler is a high school student who is planning on becoming an engineer. In his calculus II class sophomore year, he receives an F on his first test. Which of the following responses to this event would indicate that Tyler has a higher likelihood of improving in subsequent exams?",He decides that the first test is always harder than the others.,He says the teacher graded his exam harder because she doesn’t like him.,He says it was due to some home circumstances that won’t be present during the next exam.,He critiques his study methods and tries to find out which led to poor returns.,A,college_medicine
544,"In nerve cells, microtubule-associated proteins (MAPs), most notably MAP2 and MAP tau, act to stabilize microtubules. In a mouse model, a mutant is developed that vastly reduced function across all families of MAPs, leading to increased microtubule degradation. Which cellular activity would likely be most affected?",Cardiac muscle contraction,Transcription of mRNA from DNA,Krebs cycle,Meiosis,D,college_medicine
545,The trigger to initiate the contractile process in skeletal muscle is:,potassium binding to myosin.,calcium binding to tropomyosin.,ATP binding to the myosin cross bridges.,calcium binding to troponin.,D,college_medicine
546,The sarcoplasmic reticulum in muscle cells acts as a:,store of digestive enzymes.,store of sodium ions.,store of lipid.,store of calcium ions.,D,college_medicine
547,Alterations in which neurotransmitters in the brain by pharmacological agents has been shown to influence fatigue development?,Acetyl choline and noradrenaline.,Dopamine and acetyl choline.,Glutamate and serotonin.,Dopamine and serotonin.,D,college_medicine
548,Oxygen is used:,in glycolysis.,in the conversion of fatty acids to acetyl CoA.,in the tricarboxylic acid cycle (Krebs' cycle).,in glycogenolysis.,B,college_medicine
549,Mutations are errors in DNA that:,are always harmful.,only occur in the presence of carcinogens.,increase tumour growth.,occur spontaneously at a low rate.,D,college_medicine
550,The enzymes of glycolysis are located in the:,mitochondrion.,nucleus.,cytoplasm.,lysosomes.,C,college_medicine
551,"Rational choice theory is premised on the concept that actions are chosen based on the benefit to the individual. The three main assumptions of rational theory are completeness, transitivity, and independence of variables. This is most accurately described as what kind of system?",Hierarchical,Patriarchal,Matriarchal,Oligarchic,A,college_medicine
552,Which products of ADP degradation increase in concentration in the blood during multiple sprint sports?,"Ammonia, hypoxanthine and uric acid.","Ammonia, urea and uric acid.","Ammonia, urea and creatinine.","Ammonia, urea and creatine.",A,college_medicine
553,The rate limiting enzyme of glycolysis is:,phosphorylase.,hexokinase.,pyruvate dehydrogenase.,phosphofructokinase.,D,college_medicine
554,A fundamental cause of fatigue in high intensity exercise is:,a fall in the cell concentration of ADP.,inhibition of ATP production.,failure of the ATP supply to match the demand.,lack of skill.,C,college_medicine
555,The rate of blood lactate accumulation is determined by:,the rate of muscle lactate production and the rate of muscle lactate efflux.,the rate of anaerobic glycolysis.,the rate of muscle glucose uptake.,the difference between the rate of lactate appearance and the rate of lactate clearance.,D,college_medicine
556,Type I muscle fibres have the following characteristics:,"white, glycolytic, slow contracting.","white, oxidative, slow contracting.","red, oxidative, fast contracting.","red, oxidative, slow contracting.",D,college_medicine
557,"If a gas occupies 0.1L at 200atm, what will its volume be at 1atm?",slightly less than 20L,20L,slightly more than 20L,2000L,A,college_medicine
558,"Assuming the circulatory system in humans obeys Bernoulli’s principle of fluid dynamics, which of the statements most accurately compares the blood pressure in a capillary of the neck to a capillary with an equal crosssectional area in the right knee?",The pressure in the neck is greater than the pressure in the knee because of the increase in pressure head,The pressure in the neck is equal to the pressure in the knee because of the equal dynamic pressure according to the continuity equation,The pressure in the knee is greater than the pressure in the neck because of the increase in pressure head,An accurate comparison cannot be given without knowledge of the fluid’s density and viscosity,C,college_medicine
559,Sodium bicarbonate ingestion improves middle distance running performance by:,elevating the pH and buffering capacity of the extracellular fluid allowing a faster efflux of hydrogen ions from muscle.,reducing the pH and buffering capacity of the extracellular fluid allowing a faster efflux of hydrogen ions from muscle.,elevating the pH and buffering capacity of the extracellular fluid allowing a faster influx of hydrogen ions into muscle.,elevating the pre-exercise muscle pH.,A,college_medicine
560,"An individual presents to the clinic for initial evaluation and establishment of care. The patient was born 46, XY, but identifies as a female. Her preferred pronouns are She/Her. Additionally, she is sexually active with females only. What would describe the gender and orientation of this individual?","Cis-gender, heterosexual","Transgender, heterosexual","Cis-gender, homosexual","Transgender, homosexual",D,college_medicine
561,Which of the following can act as an intracellular buffer to limit pH changes when the rate of glycolysis is high?,Glutamine,Glucose,Carnosine,Amylase,C,college_medicine
562,"A team of engineers constructing signal lights for airplanes that they can use to guide them to runways are attempting to determine the brightness needed for the pilot to be able to detect the tower at 1 mile away. They set the light to a test brightness and establish communication with an inbound pilot. When the pilot is 1 mile away from the tower, he says he cannot see the light. In terms of Signal Detection Theory, what would this be called?",Hit,Miss,False alarm,Correct rejection,B,college_medicine
563,"New York City is home to over 7 million inhabitants from a diverse range of backgrounds. Although the city itself has characteristics, there are several smaller areas, usually congregations of people from the same nationality, who adhere to customs from their prior country of inhabitance. For example, in Little Italy, a small town in the city, it is still customary to greet people with cheek kisses. This is an example of what kind of phenomenon?",Subculture,Counterculture,Microculture,Culture lag,A,college_medicine
564,Prosthetic groups are:,required by all enzymes in the cell.,loosely bound to enzymes via hydrogen bonds.,sites on the enzyme molecule that permit allosteric modification of enzyme activity.,tightly bound to enzymes and are required for their activity.,D,college_medicine
565,Codons are composed of:,triplet sequences of nucleotide bases in mRNA or DNA .,quadruplet sequences of nucleotide bases in mRNA or DNA.,triplet sequences of amino acids in polypeptide chains.,triplet sequences of deoxyribose sugars in DNA.,A,college_medicine
566,In games like soccer the blood lactate concentration:,rarely increases above 3 mM.,is usually lower at the end of the game than at the end of the first half.,is usually higher at the end of the game than at the end of the first half.,increases throughout the course of the game as the players become more fatigued.,B,college_medicine
567,All of the following are true regarding the function of neurons EXCEPT:,Hyperpolarization at the end of an action potential is one mechanism by which neurons limit the rate at which action potentials may fire.,The flow of sodium into the neuron depolarizes the membrane in the first phase of an action potential.,The transmitting neuron secretes neurotransmitters into the synaptic cleft from its dendrites.,An action potential is initiated when the axon hillock reaches the threshold potential.,C,college_medicine
568,Which of the following is true?,Increasing the protein intake above 3 grams per kg body mass per day will stimulate muscle growth and increase strength.,Creatine supplements can increase muscle strength and power.,Amino acid supplements can increase muscle strength and power.,Muscle damage is induced by shortening contractions.,B,college_medicine
569,Which of the following statements is false?,Ammonia is produced in repeated high intensity exercise.,Muscle lactate accumulation does not begin until at least 5 seconds of intermittent muscle contractions have taken place.,Muscle phosphocreatine depletion begins in the first few seconds of high intensity exercise.,With an increasing number of repeated sprints the rate of accumulation of lactate in muscle declines.,B,college_medicine
570,The most rapid method to resynthesize ATP during exercise is through:,glycolysis.,phosphocreatine breakdown.,tricarboxylic acid cycle (Krebs' cycle).,glycogenolysis.,B,college_medicine
571,"The electron transport chain, which is embedded in the mitochondrial membrane, exists primarily to generate new molecules of ATP for use by the cell. This is accomplished by a positive gradient of H+ ions that are formed outside the membrane which then pass back through a specialized channel known as ATP synthase. The energy created from this phosphorylates an ATP to an ATP, known as oxidative phosphorylation. The mechanism by which H+ returns to the inside of the mitochondria is known as what?",Passive transport,Passive diffusion,Active transport,Endocytosis,A,college_medicine
572,Which of the following molecules will stop being produced first when oxygen is no longer supplied to the cell?,Oxaloacetate,Pyruvate,Water,Adenosine triphosphate,C,college_medicine
573,"As a result of substance abuse throughout adolescence, a young adult suffers from a number of psychological symptoms reflecting diminished executive functioning. Which of the following are likely true of this patient?
I. Pathological changes to the prefrontal cortex.
II. Increased susceptibility to auditory hallucinations.
III. Reduced behavioral impulse control.",I only,III only,I and III only,II and III only,C,college_medicine
574,Glycogen breakdown in muscle initially results in the formation of:,glucose.,glucose-1-phosphate.,glucose-6-phosphate.,"glucose-1,6-diphosphate.",B,college_medicine
575,A wrestler attempting to lose weight for a match in December commits himself to dropping 30lbs over 2 months. Which of the following is NOT a good method to restrict his caloric intake?,Study at a health smoothie store instead of a coffee shop.,Reward himself with a savory meal every Saturday for meeting his calorie goals.,Snap himself with a rubber band when he eats a high calorie snack.,Hide snack food out of sight within his house.,D,college_medicine
576,"In an SDS-PAGE procedure, the SDS serves as a detergent. Why are the proteins treated with a detergent before being run through the electrophoresis gel?","To coat the proteins with a large positive charge, since amino acid side chains may have positive, negative, or neutral charges, and a large uniform charge is necessary to get good separation in the gel.",To allow the electrophoresis to separate the proteins solely on the basis of the length of the primary sequence.,To prevent the protein from denaturing so that the electrophoresis can accurately resolve the proteins on the basis of tertiary structure.,"To break the intramolecular bonds holding the tertiary and primary structure of the protein together, thereby generating linear fragments that may be sorted on size.",B,college_medicine
577,"For very high force contractions lasting 1-2 seconds, the initial energy source is from:",Glycolysis.,creatine phosphorylation.,phosphocreatine stores.,ATP stores.,D,college_medicine
578,Which of the following factors does not influence success in sport?,Ability to tolerate heavy training without succumbing to illness or injury.,Tactics.,The diet.,Ingestion of carnitine during exercise.,D,college_medicine
579,The lining of the digestive tract and the respiratory tract develops from which germ layer? I. Endoderm II. Mesoderm III. Ectoderm,I only,II only,III only,I and II,A,college_medicine
580,"A transmembrane protein being isolated in the laboratory is found to be composed of four different amino acids in varying quantity. They are, in order of frequency, glycine, tyrosine, arginine, and isoleucine. Of these amino acids, which is most likely to be inside the transmembrane domain?",Glycine,Tyrosine,Arginine,Isoleucine,D,college_medicine
581,Which of the following nucleotide bases is not found in RNA?,Thymine,Adenine,Uracil,Guanine,A,college_medicine
582,Fast-twitch fibres contain:,a relatively large number of mitochondria and low ATPase activity.,a relatively small number of mitochondria and low ATPase activity.,a relatively small number of mitochondria and high ATPase activity.,a relatively large number of mitochondria and high ATPase activity.,C,college_medicine
583,The conversion of one molecule of glucose to two molecules of pyruvate results in the net formation of:,six molecules of water.,two molecules of ATP.,three molecules of ATP.,thirty-eight molecules of ATP.,B,college_medicine
584,"Acute Myeloid Leukemia is a malignant cancer in which myeloid progenitor cells become rapidly dividing and retain their semi-stem cell state. Under normal circumstances, which of the following cell types would arise from this stem cell?",NK cell,Platelet,T cell,Lymphoid progenitor,B,college_medicine
585,Lactate and hydrogen ions leave the muscle:,via a cotransport mechanism with carnosine.,via an active transport mechanism.,via a protein transporter molecule.,by simple diffusion.,C,college_medicine
586,"There are five stages of mitosis that must be carried out correctly for a cell to properly divide. Match the stage of mitosis with its proper component:
Prophase — Dissolution of nucleoli",Metaphase — Formation of two distinct nuclear membranes,Cytokinesis — Separation of sister chromatids to their respective poles,Telophase — Formation of the equatorial plate,Anaphase — Separation of the cytoplasm and organelles,A,college_medicine
587,"A study examined admissions to exceptionally selective colleges. When examining the correlates of admission acceptance, two obvious factors that strongly correlated with admissions were GPA and standardized test scores, with correlation values of +0.41 and +0.55 respectively. However, the study also demonstrated that those students who had social networks that overlapped with the alumni networks of the selective colleges were even more likely to be admitted, with a correlation between social network and alumni network of +0.61. This correlation demonstrates:",the value of cultural capital.,a meritocracy.,he value of social capital.,a false association.,C,college_medicine
588,"A patient comes into the hospital after being bit by a dog who he stated was “acting crazy”. The wound is open and bleeding. Animal control captured the dog and said that it was foaming at the mouth and extremely aggressive. Suspecting a rabies infection, the patient is given a serum that contains rabies antibodies that were grown inside a horse. This is an example of what kind of immunity?",Passive,Active,Natural,Artificial,A,college_medicine
589,"The World Systems Theory divides the world as a unit into three subcategories: core countries, periphery countries, and semi-periphery countries. Which of the following answers correlates best with semi-periphery countries?",Strong central government.,An economy centralized around one natural resource.,A diversified and developed economy.,Small percentage of very high class individuals.,C,college_medicine
590,Kinase reactions:,inhibit ATP breakdown.,involve the addition or removal of a phosphate group.,involve the addition or removal of a ketone group.,involve the addition or removal of an amino acid to a polypeptide chain.,B,college_medicine
591,The main fate of lactate that leaves muscle and enters the circulation is:,conversion to urea in the liver.,conversion to glucose in the heart.,excretion via the kidneys.,uptake and oxidation by other tissues.,D,college_medicine
592,The ATP store in muscle can only supply energy in high intensity exercise for about:,2 milliseconds.,2 seconds.,10 seconds.,20 seconds.,B,college_medicine
593,Glycogen breakdown in exercising muscle is activated by:,insulin.,cortisol.,increased pH.,none of the above.,D,college_medicine
594,"According to attachment theory, which of the following children is most likely to attach to a male psychologist, previously unknown to the child, in the course of a psychological study?","A two month old female infant raised in a safe, stable environment","A five month old male infant raised in a safe, stable environment",An eight month old male infant raised by a single caregiver who frequently neglect the child,A thirteen month old female infant raised by two caregivers who occasionally neglect the child,A,college_medicine
595,Creatine is synthesized from:,amino acids in the muscles.,amino acids in the liver.,amino acids in the kidneys.,creatinine in the kidneys.,B,college_medicine
596,"The hypothalamus controls the stress response of the body by releasing CRF, which leads to eventual release of cortisol, the body’s stress hormone, systemically. This trigger is eventually suppressed by which mechanism?",Constriction of blood flow to the adrenal gland.,Exhaustion of the body’s store of CRF.,Negative feedback loop of cortisol.,Release of CRF-inhibitory factor.,C,college_medicine
597,"A local politician starts a task force to reduce prejudice and hate crimes, and the task force provides recommendations for increased access to education, paid community improvement projects open to people from different, possibly conflicted, groups, and stricter anti-hate ordinances to be passed at the local level. These recommendations are based on:
I. Self-esteem hypothesis
II. Contact hypothesis
III. Hypothesis
IV. Legal hypothesis","I, II, and III","II, III, and IV","I, III, and IV","I, II, and IV",D,college_medicine
598,The energy for all forms of muscle contraction is provided by:,ATP.,ADP.,phosphocreatine.,oxidative phosphorylation.,A,college_medicine
599,How can several different proteins be produced from the same gene?,By selective transcription of different parts of the DNA in the gene.,By doubling or tripling the length of the mRNA molecule produced from the primary transcript.,"The primary transcripts of many genes can be spliced in various ways to produce different mRNAs, a process known as alternative RNA splicing.",By splicing of the mRNA molecule after it has been formed from the primary transcript.,C,college_medicine
600,Phosphocreatine in the muscle cell is found in:,the mitochondria.,all subcellular compartments.,the sarcolemma.,the cytoplasm.,D,college_medicine
601,"A scientist using mouse models to determine the response of blood hormones to large levels of glucose in the body discovers a new hormone not previously described. According to his data, this hormone is found both inside and out of cells when carrying out its function, increase the amount of nucleic acid in the cell while functioning, and are derived from a structure containing four hydroxycarbon rings. This will likely be categorized as which type of hormone?",Enzymatic,Steroid,Peptide,Amino acid,B,college_medicine
602,The coding sequences of genes are called:,extrons.,exons.,introns.,codons.,B,college_medicine
603,"Each of the following is an example of the transmission of knowledge through symbolic culture EXCEPT:
I. A young macaque monkey learning to rinse off food in the ocean from an older monkey, even when the food is not covered in dirt or sand.
II. A child learning the rules of baseball from a parent.
III. A new group of inductees in a military organization experiencing hazing rituals from older students, which they then later carry out on new recruits.",I only,III only,I and III only,II and III only,A,college_medicine
604,"One of the many reasons that the eukaryotic cell can possess so much information in its DNA is the ability to condense coding regions when they are not being expressed. When acting on DNA, which of the following processes will usually lead to a decrease in gene expression?",Increased histone acetyltransferase activity,Decrease in histone deacetyltransferase activity,Increase in methylation activity,Increase in heterochromatin:euchromatin ratio,C,college_medicine
605,Anaerobic metabolism refers to the generation of ATP:,without the involvement of ADP.,without the use of glycogen.,without the use of oxygen.,in the absence of available oxygen.,C,college_medicine
606,Which of the following molecules does not form part of DNA?,Purine,Pyrimidine,Deoxyribose,Amino acid,D,college_medicine
607,How many electrons does gold (Au) possess that have a quantum number l = 2?,9,23,29,79,C,college_medicine
608,With an increasing number of sprints the:,anaerobic contribution progressively increases.,pH of the muscle falls below 6.0.,blood glucose concentration falls below 3 mmol/L.,relative contribution of aerobic metabolism increases.,D,college_medicine
609,"Fire hoses always have a nozzle on the end of the hose, which in part works by decreasing the area of the water exiting the fire hydrant to create a more forceful stream. If the starting velocity of water from a fire hydrant is 2 m/s, pressure is kept constant, and the end of the nozzle is 1/3 the area of the start of the hose, what is the final velocity of water as it exits?",2 m/s,8 m/s,5 m/s,6 m/s,D,college_medicine
610,"Pairs of electrons carried in the form, FADH2 and NADH+H, collectively contain enough free energy to rephosphorylate:",6 ATP.,5 ATP.,4 ATP.,3 ATP.,B,college_medicine
611,"The energy released from the breakdown of the high-energy phosphates, ATP and phosphocreatine, can sustain maximal exertion exercise for about:",1-2 seconds.,5-10 seconds.,30-40 seconds.,50-60 seconds.,B,college_medicine
612,The sex of a child is dictated by the inheritance of:,the number of X chromosomes from the mother.,a recessive allele on the X chromosome.,a single Y chromosome from the mother.,a single Y chromosome from the father.,D,college_medicine
613,The blood glucose concentration during 80-90 minutes of intermittent high intensity exercise:,frequently rises by 1 - 3 mM.,remains relatively unchanged.,frequently falls by 1 - 3 mM.,falls to hypoglycaemic levels.,A,college_medicine
614,"During DNA replication, mistakes are coded into the leading strand about once every 100,000/1 million copies. This DNA is subject to proofreading by several mechanisms. If a mistake is noted and the incorrect base is removed shortly following the time RNA primer is removed, this would most likely be the work of which repair mechanism?",DNA polymerase I,DNA polymerase III,Mismatch repair mechanism,Endonuclease repair,A,college_medicine
615,Which of the following statements is false?,Phosphofructokinase is the rate limiting enzyme in glycolysis.,Phosphorylase activity is higher in Type II fibres than in Type I fibres.,Endurance training increases the amount of TCA cycle enzymes in muscle.,Oxygen is consumed in the TCA cycle.,D,college_medicine
616,Each of the following are aspects of the McDonaldization of Society EXCEPT:,Rationalization of decisions into cost/benefit analysis structures and away from traditional modes of thinking,Bureaucratic organization that formalizes well-establish division of labor and impersonal structures,A dissolution of hierarchical modes of authority into collaborative teambased decision protocols,An intense effort on achieving sameness across diverse markets,C,college_medicine
617,The descending loop of Henle of the nephron of the kidney is permeable to which of the following substances?,Na+,H2O,K+,Cl-,B,college_medicine
618,"DNA polymerase creates new DNA by adding complimentary nucleotides to a template strand from the original double-stranded DNA. If a section of the template strand had a ration of 3:2 of A:T bases, what is the ration of A:T in the newly synthesized complimentary strand of DNA?",3:02,1:01,2:03,cannot be determined,C,college_medicine
619,"Sauna use, sometimes referred to as ""sauna bathing,"" is characterized by short-term passive exposure to extreme heat. This exposure elicits mild hyperthermia – an increase in the body's core temperature – that induces a thermoregulatory response involving neuroendocrine, cardiovascular, and cytoprotective mechanisms that work together to restore homeostasis and condition the body for future heat stressors… In recent decades, sauna bathing has emerged as a means to increase lifespan and improve overall health, based on compelling data from observational, interventional, and mechanistic studies. Of particular interest are the findings from studies of participants in the Kuopio Ischemic Heart Disease Risk Factor (KIHD) Study, an ongoing prospective population-based cohort study of health outcomes in more than 2,300 middle-aged men from eastern Finland, which identified strong links between sauna use and reduced death and disease… The KIHD findings showed that men who used the sauna two to three times per week were 27 percent less likely to die from cardiovascular-related causes than men who didn't use the sauna.[2] Furthermore, the benefits they experienced were found to be dose-dependent: Men who used the sauna roughly twice as often, about four to seven times per week, experienced roughly twice the benefits – and were 50 percent less likely to die from cardiovascular-related causes.[2] In addition, frequent sauna users were found to be 40 percent less likely to die from all causes of premature death. These findings held true even when considering age, activity levels, and lifestyle factors that might have influenced the men's health.[2]... The KIHD also revealed that frequent sauna use reduced the risk of developing dementia and Alzheimer's disease in a dose-dependent manner. Men who used the sauna two to three times per week had a 66 percent lower risk of developing dementia and a 65 percent lower risk of developing Alzheimer's disease, compared to men who used the sauna only one time per week… The health benefits associated with sauna use extended to other aspects of mental health, as well. Men participating in the KIHD study who used the sauna four to seven times per week were 77 percent less likely to develop psychotic disorders, regardless of the men's dietary habits, socioeconomic status, physical activity, and inflammatory status (as measured by C-reactive protein)…Exposure to high temperature stresses the body, eliciting a rapid, robust response. The skin and core body temperatures increase markedly, and sweating ensues. The skin heats first, rising to 40°C (104°F), and then changes in core body temperature occur, rising slowly from 37°C (98.6°F, or normal) to 38°C (100.4°F) and then rapidly increasing to 39°C (102.2°F)…  Cardiac output, a measure of the amount of work the heart performs in response to the body's need for oxygen, increases by 60 to 70 percent, while the heart rate (the number of beats per minute) increases and the stroke volume (the amount of blood pumped) remains unchanged.[5] During this time, approximately 50 to 70 percent of the body's blood flow is redistributed from the core to the skin to facilitate sweating. The average person loses approximately 0.5 kg of sweat while sauna bathing.[11] Acute heat exposure also induces a transient increase in overall plasma volume to mitigate the decrease in core blood volume. This increase in plasma volume not only provides a reserve source of fluid for sweating, but it also acts like the water in a car's radiator, cooling the body to prevent rapid increases in core body temperature and promoting heat tolerance… Repeated sauna use acclimates the body to heat and optimizes the body's response to future exposures, likely due to a biological phenomenon known as hormesis, a compensatory defense response following exposure to a mild stressor that is disproportionate to the magnitude of the stressor. Hormesis triggers a vast array of protective mechanisms that not only repair cell damage but also provide protection from subsequent exposures to more devastating stressors… The physiological responses to sauna use are remarkably similar to those experienced during moderate- to vigorous-intensity exercise. In fact, sauna use has been proposed as an alternative to exercise for people who are unable to engage in physical activity due to chronic disease or physical limitations.[13]

Based on the article, which of the following statements is the author likely to agree with?",Heart surgery patients who cannot run on treadmills may benefit from sauna use.,Patients on a diet would benefit from sauna use.,Salt restriction would be equal to sauna use for hypertensive patients.,Patients with skin conditions may be cured with sauna use.,A,college_medicine
620,"Sauna use, sometimes referred to as ""sauna bathing,"" is characterized by short-term passive exposure to extreme heat. This exposure elicits mild hyperthermia – an increase in the body's core temperature – that induces a thermoregulatory response involving neuroendocrine, cardiovascular, and cytoprotective mechanisms that work together to restore homeostasis and condition the body for future heat stressors… In recent decades, sauna bathing has emerged as a means to increase lifespan and improve overall health, based on compelling data from observational, interventional, and mechanistic studies. Of particular interest are the findings from studies of participants in the Kuopio Ischemic Heart Disease Risk Factor (KIHD) Study, an ongoing prospective population-based cohort study of health outcomes in more than 2,300 middle-aged men from eastern Finland, which identified strong links between sauna use and reduced death and disease… The KIHD findings showed that men who used the sauna two to three times per week were 27 percent less likely to die from cardiovascular-related causes than men who didn't use the sauna.[2] Furthermore, the benefits they experienced were found to be dose-dependent: Men who used the sauna roughly twice as often, about four to seven times per week, experienced roughly twice the benefits – and were 50 percent less likely to die from cardiovascular-related causes.[2] In addition, frequent sauna users were found to be 40 percent less likely to die from all causes of premature death. These findings held true even when considering age, activity levels, and lifestyle factors that might have influenced the men's health.[2]... The KIHD also revealed that frequent sauna use reduced the risk of developing dementia and Alzheimer's disease in a dose-dependent manner. Men who used the sauna two to three times per week had a 66 percent lower risk of developing dementia and a 65 percent lower risk of developing Alzheimer's disease, compared to men who used the sauna only one time per week… The health benefits associated with sauna use extended to other aspects of mental health, as well. Men participating in the KIHD study who used the sauna four to seven times per week were 77 percent less likely to develop psychotic disorders, regardless of the men's dietary habits, socioeconomic status, physical activity, and inflammatory status (as measured by C-reactive protein)…Exposure to high temperature stresses the body, eliciting a rapid, robust response. The skin and core body temperatures increase markedly, and sweating ensues. The skin heats first, rising to 40°C (104°F), and then changes in core body temperature occur, rising slowly from 37°C (98.6°F, or normal) to 38°C (100.4°F) and then rapidly increasing to 39°C (102.2°F)…  Cardiac output, a measure of the amount of work the heart performs in response to the body's need for oxygen, increases by 60 to 70 percent, while the heart rate (the number of beats per minute) increases and the stroke volume (the amount of blood pumped) remains unchanged.[5] During this time, approximately 50 to 70 percent of the body's blood flow is redistributed from the core to the skin to facilitate sweating. The average person loses approximately 0.5 kg of sweat while sauna bathing.[11] Acute heat exposure also induces a transient increase in overall plasma volume to mitigate the decrease in core blood volume. This increase in plasma volume not only provides a reserve source of fluid for sweating, but it also acts like the water in a car's radiator, cooling the body to prevent rapid increases in core body temperature and promoting heat tolerance… Repeated sauna use acclimates the body to heat and optimizes the body's response to future exposures, likely due to a biological phenomenon known as hormesis, a compensatory defense response following exposure to a mild stressor that is disproportionate to the magnitude of the stressor. Hormesis triggers a vast array of protective mechanisms that not only repair cell damage but also provide protection from subsequent exposures to more devastating stressors… The physiological responses to sauna use are remarkably similar to those experienced during moderate- to vigorous-intensity exercise. In fact, sauna use has been proposed as an alternative to exercise for people who are unable to engage in physical activity due to chronic disease or physical limitations.[13]

Based on the article, what would be an important thing for a person to do after sauna use?",Shower in cold water.,Exercise.,Eat a meal.,Replenish fluids with filtered water.,D,college_medicine
